1906 - List of County Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

County or Equivalent,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"(Unassigned to county by census bureau), AL",0,2814,445463,9,8894,8,,2821,,2819
"Autauga, AL",17915,1267,8236,946,0,2012,46.0,572,0,662
"Baldwin, AL",13194,1738,5683,1443,0,1849,43.1,720,0,2290
"Barbour, AL",35152,390,15008,392,0,1550,42.7,752,0,2642
"Bibb, AL",18498,1215,8515,915,0,1671,46.0,569,0,629
"Blount, AL",23119,873,5894,1392,0,1294,25.5,2218,0,1878
"Bullock, AL",31944,478,14851,397,0,1605,46.5,548,0,398
"Butler, AL",25761,733,12232,540,0,368,47.5,496,0,2641
"Calhoun, AL",34874,396,15706,364,0,1246,45.0,608,0,1058
"Chambers, AL",32554,459,13197,479,0,2503,40.5,916,0,1631
"Cherokee, AL",21096,1008,6517,1273,0,2791,30.9,1783,0,2723
"Chilton, AL",16522,1422,7056,1152,0,1466,42.7,751,0,2631
"Choctaw, AL",18136,1243,9329,813,0,566,51.4,349,0,1024
"Clarke, AL",27790,647,15156,386,0,1484,54.5,260,0,45
"Clay, AL",17099,1359,7077,1146,0,1402,41.4,838,0,773
"Cleburne, AL",13206,1735,4444,1743,0,2333,33.7,1517,0,2612
"Coffee, AL",20972,1011,7078,1145,0,1391,33.7,1506,0,2491
"Colbert, AL",22341,919,8563,908,0,1596,38.3,1115,0,1005
"Conecuh, AL",17514,1319,8524,914,0,1661,48.7,449,0,2124
"Coosa, AL",16144,1465,6755,1216,0,2166,41.8,815,0,520
"Covington, AL",15346,1535,6770,1214,0,2144,44.1,657,0,1597
"Crenshaw, AL",19668,1114,7573,1050,0,346,38.5,1101,0,851
"Cullman, AL",17849,1280,8609,900,0,1508,48.2,470,0,2355
"Dale, AL",21189,1001,10864,647,0,1540,51.3,356,0,1101
"Dallas, AL",54657,184,31378,159,0,1800,57.4,207,0,2277
"DeKalb, AL",23558,851,7738,1023,0,2855,32.8,1602,0,732
"Elmore, AL",26099,715,9781,763,0,2811,37.5,1172,0,1632
"Escambia, AL",11320,1914,6218,1327,0,592,54.9,249,0,2739
"Etowah, AL",27361,663,9757,767,0,2854,35.7,1325,0,500
"Fayette, AL",14132,1651,4990,1602,0,796,35.3,1363,0,918
"Franklin, AL",16511,1428,5220,1553,0,247,31.6,1719,0,2019
"Geneva, AL",19096,1169,6445,1288,0,145,33.8,1505,0,2480
"Greene, AL",24182,811,8949,856,0,1029,37.0,1210,0,2050
"Hale, AL",31011,512,12476,533,0,286,40.2,939,0,1884
"Henry, AL",36147,371,7393,1086,0,751,20.5,2497,0,2132
"Jackson, AL",30508,524,7782,1011,0,2724,25.5,2216,0,1856
"Jefferson, AL",140420,50,69646,74,0,875,49.6,413,0,1728
"Lamar, AL",16084,1470,5213,1554,0,257,32.4,1639,0,1139
"Lauderdale, AL",26559,694,9900,742,0,2580,37.3,1191,0,1841
"Lawrence, AL",20124,1085,7134,1136,0,1293,35.5,1349,0,764
"Lee, AL",31826,483,14130,430,0,1966,44.4,639,0,1399
"Limestone, AL",22387,916,7520,1061,0,474,33.6,1525,0,2700
"Lowndes, AL",35651,379,16338,341,0,995,45.8,581,0,761
"Macon, AL",23126,872,11314,611,0,1148,48.9,440,0,2025
"Madison, AL",43702,282,15556,372,0,1333,35.6,1334,0,599
"Marengo, AL",38315,346,21087,260,0,96,55.0,245,0,2695
"Marion, AL",14494,1617,3949,1886,0,1098,27.2,2097,0,547
"Marshall, AL",23289,864,7516,1063,0,497,32.3,1653,0,1293
"Mobile, AL",62740,148,46017,110,0,1267,73.3,76,0,836
"Monroe, AL",23666,842,9898,743,0,2591,41.8,817,0,542
"Montgomery, AL",72047,117,40720,123,0,1409,56.5,223,0,2453
"Morgan, AL",28820,591,11221,615,0,1192,38.9,1055,0,345
"Perry, AL",31783,484,16148,349,0,1081,50.8,370,0,1255
"Pickens, AL",24402,798,10771,656,0,1639,44.1,654,0,1564
"Pike, AL",29172,576,13141,483,0,2547,45.0,607,0,1047
"Randolph, AL",21647,971,8016,978,0,2362,37.0,1209,0,2039
"Russell, AL",27083,670,13756,449,0,2174,50.8,371,0,1266
"Shelby, AL",23684,840,9639,782,0,210,40.7,893,0,1378
"St. Clair, AL",19425,1141,6766,1215,0,2155,34.8,1404,0,1369
"Sumter, AL",32710,455,12624,523,0,176,38.6,1090,0,730
"Talladega, AL",35773,377,15348,378,0,1399,42.9,735,0,2455
"Tallapoosa, AL",29675,563,11082,627,0,1323,37.3,1183,0,1753
"Tuscaloosa, AL",36147,372,17128,325,0,823,47.4,504,0,2729
"Walker, AL",25162,758,8430,925,0,1781,33.5,1538,0,28
"Washington, AL",11134,1931,6255,1321,0,522,56.2,229,0,2519
"Wilcox, AL",35631,380,20971,261,0,108,58.9,193,0,2123
"Winston, AL",9554,2074,2479,2230,0,2060,25.9,2188,0,1548
"(Unassigned to county by census bureau), AZ",0,2815,1175,2557,237,47,,2860,,2858
"Apache, AZ",8297,2194,1342,2516,0,2390,16.2,2647,0,967
"Cochise, AZ",9251,2099,5978,1375,0,1107,64.6,126,0,1386
"Coconino, AZ",5514,2413,1147,2565,0,117,20.8,2484,0,1989
"Gila, AZ",4973,2456,1548,2464,0,1820,31.1,1758,0,2448
"Graham, AZ",14162,1648,10522,679,0,1890,74.3,73,0,803
"Maricopa, AZ",20457,1055,10662,665,0,1736,52.1,334,0,859
"Mohave, AZ",3426,2578,416,2726,0,1887,12.1,2731,0,1891
"Navajo, AZ",8829,2138,1541,2467,0,1853,17.5,2608,0,538
"Pima, AZ",14689,1595,4957,1609,0,870,33.7,1507,0,2502
"Pinal, AZ",7779,2238,2233,2287,0,2685,28.7,1975,0,2020
"Santa Cruz, AZ",4545,2502,974,2597,0,480,21.4,2447,0,1582
"Yavapai, AZ",13799,1674,1775,2402,0,1144,12.9,2721,0,1781
"Yuma, AZ",4145,2532,1557,2461,0,1787,37.6,1167,0,1577
"(Unassigned to county by census bureau), AR",0,2816,195635,29,6208,16,,2829,,2827
"Arkansas, AR",12973,1765,3548,1995,0,2290,27.3,2088,0,448
"Ashley, AR",19734,1107,7460,1070,0,579,37.8,1149,0,1379
"Baxter, AR",9298,2092,1707,2414,0,1276,18.4,2577,0,197
"Benton, AR",31611,495,8952,855,0,1019,28.3,2005,0,2350
"Boone, AR",16396,1436,3003,2117,0,829,18.3,2582,0,252
"Bradley, AR",9651,2063,2541,2212,0,1863,26.3,2165,0,1295
"Calhoun, AR",8539,2168,2600,2193,0,1656,30.4,1819,0,304
"Carroll, AR",18848,1187,3663,1959,0,1895,19.4,2537,0,2572
"Chicot, AR",14528,1612,6184,1337,0,698,42.6,759,0,2719
"Clark, AR",21289,996,8167,957,0,2132,38.4,1113,0,983
"Clay, AR",15886,1486,4932,1613,0,913,31.0,1770,0,2580
"Cleburne, AR",9628,2065,1802,2399,0,1111,18.7,2564,0,54
"Cleveland, AR",11620,1884,3169,2085,0,478,27.3,2092,0,492
"Columbia, AR",22077,937,6715,1231,0,2331,30.4,1822,0,337
"Conway, AR",19772,1103,9052,846,0,921,45.8,582,0,772
"Craighead, AR",19505,1134,9209,830,0,750,47.2,514,0,24
